longitude,latitude
-0.37100579999999994,43.3031328
6.5693089,45.3639859
1.5123055,43.5401233
1.5128399,43.54090529999999
7.698914200000002,45.0982662
6.508736700000002,45.2971506
5.377404300000001,43.4907045
5.261623200000001,43.65372800000001
5.2617786,43.6536281
5.2617647,43.65351280000001
5.2616737,43.653543600000006
5.261608399999999,43.6535729
5.2615238,43.6536129
5.265446300000001,43.6533174
5.2654813,43.65353460000001
5.265310999999999,43.6535321
5.2652777,43.65331930000001
-0.5286241000000002,44.7971389
-0.6782610000000001,44.831409
-0.679912,44.831037
1.3014896,43.6025493
-0.6441250000000001,44.7883508
-0.6440478000000001,44.7884612
-0.6436975,44.7883341
-0.6437727,44.78822710000001
-0.6438567,44.78825710000001
-0.64392,44.788174
-0.6440701,44.7882299
-0.6440117,44.7883107
-0.6455287,44.7878644
-0.6453395,44.7877813
-0.6452196999999998,44.7879161
-0.6452769999999999,44.7879412
-0.6452222,44.788002
-0.6452971,44.788036399999996
-0.6453519000000001,44.78797509999999
-0.6454088999999998,44.7879998
1.3637782,43.5752876
-0.6161399000000001,44.7955052
-0.6157868,44.7955963
-0.6156605,44.79575
-0.6157929999999999,44.7959118
-0.6162877,44.795789
2.4422361,42.21766420000001
2.2221989999999994,43.073415
1.5123713000000003,43.54866620000001
1.5120389,43.5488819
1.5112755,43.54954310000001
3.0649476,43.0137613
5.032632199999999,45.014576299999995
5.039332599999999,45.16192029999999
-0.6129346,44.8012061
-0.6126586,44.8012804
-0.6127375999999999,44.8014282
-0.6127704999999999,44.80141929999999
-0.6128001,44.8014747
-0.6131684999999999,44.8013756
-0.6131251,44.801211
-0.6129608000000001,44.8012552
-1.6425442999999995,42.8189735
7.5747823,45.0822333
5.8923751,45.652442400000005
5.8924753,45.6523492
5.8925942000000004,45.6524102
5.892567100000001,45.652435200000006
5.892595,45.6524486
5.892522200000001,45.652514200000006
5.892476599999999,45.6524912
5.8924734,45.6524948
4.6997332,43.999219600000004
6.2272606,45.28304299999999
6.2688837,45.2397676
6.259334900000001,45.2350552
5.3638228,43.413217
3.8630556000000005,43.6649762
5.130506,43.6290404
5.1689902,43.626844299999995
3.5281767,43.3558271
1.5298316000000003,43.5291525
6.9749042,45.43805170000001
5.3729519,43.2930532
7.2514778,43.7201356
2.7011885999999996,42.38002660000001
1.3424982999999997,43.62553940000001
1.3695682999999998,43.510635799999996
-0.33126420000000006,42.772164599999996
2.671850600000001,45.11430500000001
7.1250963,43.58105369999999
7.1229434,43.5828603
7.126252700000001,43.57877770000001
7.126393800000001,43.5830387
7.1265092999999995,43.58223530000001
7.128551999999999,43.5816928
7.125488,43.5815628
7.125163500000001,43.58313350000001
7.1264423,43.5819504
7.1269346,43.5809159
7.1265046000000005,43.583029200000006
7.1252678000000005,43.5810644
7.125515900000001,43.58097649999999
-0.39459340000000004,42.764249500000005
1.4685759999999999,43.5702104
1.4688455000000002,43.57035090000001
1.4692103,43.5699801
1.4686746,43.5697015
1.4685029000000003,43.5698761
1.4687688,43.570014400000005
5.7145359000000004,45.191098000000004
7.1276253,43.5828831
7.127708200000001,43.5829075
2.8945480999999997,42.7022772
2.8931453,42.7024685
2.1230489,42.5083032
-1.6428445000000003,42.56306570000001
-1.6537063,42.3462615
-1.6503188000000002,42.4807484
-1.6517136999999997,42.68871849999999
-1.6316099,42.7873725
-1.6316071,42.7872008
0.1827926,45.64403010000001
0.18850090000000003,45.642774
5.0520361000000005,43.9199242
5.0520611,43.919949300000006
5.052054699999999,43.919961
7.291475200000001,43.6914748
7.265056100000002,43.7041992
7.2695469,43.702909500000004
7.262942400000001,43.7089068
0.3370763,45.2481661
0.3578645,45.1975819
0.34299080000000004,45.256757
